,FIRST,LAST,NICKNAME,HT,WT,REACH,STANCE,W,L,D,BELT
1821,Tatsuya,Kawajiri,Crusher,"5' 7""",145 lbs.,"69.0""",Orthodox,36,11,2,
1822,Ryo,Kawamura,,"5' 11""",205 lbs.,--,Orthodox,18,9,4,
1823,Doug,Kay,,--,--,--,,0,0,0,
1824,Julie,Kedzie,,"5' 5""",135 lbs.,--,Orthodox,16,13,0,
1825,Ryan,Keenan,,"5' 10""",170 lbs.,--,,6,2,0,
1826,CJ,Keith,,"6' 0""",155 lbs.,--,Orthodox,8,4,0,
1827,Chris,Kelades,The Greek Assassin,"5' 7""",125 lbs.,"68.0""",Orthodox,9,3,0,
1828,Brian,Kelleher,Boom,"5' 6""",135 lbs.,"66.0""",Switch,23,12,0,
1829,Mayana,Kellem,,"5' 5""",135 lbs.,--,Orthodox,7,1,0,
1830,Tony,Kelley,Primetime,"5' 9""",135 lbs.,"70.0""",Switch,7,2,0,
1831,Paul,Kelly,,"5' 9""",155 lbs.,"70.0""",Orthodox,14,5,0,
1832,John,Kelly,,"5' 9""",170 lbs.,--,,5,4,0,
1833,Daniel,Kelly,,"6' 0""",185 lbs.,"70.0""",Southpaw,13,4,0,
1834,Tim,Kennedy,,"5' 11""",185 lbs.,"74.0""",Orthodox,18,6,0,
1835,Steve,Kennedy,The Steamrolla,"5' 11""",170 lbs.,--,Orthodox,24,8,0,
1836,Jeremy,Kennedy,JBC,"5' 11""",145 lbs.,"71.0""",Orthodox,11,1,0,
1837,Waylon,Kennell,,"6' 0""",185 lbs.,--,,6,2,0,
1838,Casey,Kenney,,"5' 7""",135 lbs.,"68.0""",Southpaw,16,4,1,
1839,Aurelijus,Kerpe,,--,--,--,Orthodox,11,22,0,
1840,Mark,Kerr,The Smashing Machine,"6' 3""",266 lbs.,--,Switch,15,11,0,
1841,Will,Kerr,,"5' 10""",155 lbs.,"69.0""",Orthodox,9,3,0,
1842,Ron,Keslar,,--,185 lbs.,--,,11,9,0,
1843,Rustam,Khabilov,Tiger,"5' 8""",155 lbs.,"73.0""",Orthodox,24,4,0,
1844,Adam,Khaliev,,"6' 0""",170 lbs.,--,Orthodox,6,0,0,
1845,Sergey,Khandozhko,Honda,"6' 1""",170 lbs.,"74.0""",Orthodox,27,6,1,
1846,Sergei,Kharitonov,,"6' 0""",245 lbs.,--,Orthodox,26,6,0,
1847,Alfred,Khashakyan,The Fearless,"5' 8""",135 lbs.,"70.0""",Orthodox,8,3,0,
1848,Aliaskhab,Khizriev,Black Wolf,"5' 9""",185 lbs.,"74.0""",Southpaw,13,0,0,
1849,Pannie,Kianzad,Banzai,"5' 7""",135 lbs.,"66.0""",Orthodox,16,6,0,
1850,Akira,Kikuchi,,"5' 8""",155 lbs.,--,Orthodox,16,4,0,
1851,Katsunori,Kikuno,,"5' 8""",145 lbs.,"66.0""",Orthodox,24,8,2,
1852,Sanae,Kikuta,,"5' 9""",200 lbs.,--,Orthodox,31,9,3,
1853,Jacob,Kilburn,The Killer,"5' 9""",145 lbs.,"72.0""",Orthodox,8,4,0,
1854,Dong Hyun,Kim,Stun Gun,"6' 2""",170 lbs.,"76.0""",Southpaw,22,4,1,
1855,Jin Oh,Kim,,"5' 9""",205 lbs.,--,Orthodox,0,4,0,
1856,Dae Won,Kim,,"5' 11""",180 lbs.,--,Orthodox,11,7,0,
1857,Jong Wang,Kim,,"6' 1""",240 lbs.,--,,13,23,0,
1858,Jong Won,Kim,,"5' 7""",139 lbs.,--,Orthodox,0,1,0,
1859,Min Soo,Kim,,"6' 1""",255 lbs.,--,Southpaw,3,7,0,
1860,Jong Man,Kim,Special Force,"5' 7""",139 lbs.,--,Orthodox,23,11,3,
1861,Ji Yeon,Kim,Firefist,"5' 7""",125 lbs.,"72.0""",Orthodox,9,4,2,
1862,Jeremy,Kimball,,"6' 0""",205 lbs.,"72.0""",Switch,15,8,0,
1863,Rob,Kimmons,The Rosedale Reaper,"5' 10""",185 lbs.,"73.0""",Orthodox,25,9,0,
1864,Dustin,Kimura,The Diamond,"5' 7""",135 lbs.,"71.0""",Orthodox,11,3,0,
1865,Taiei,Kin,,"5' 11""",185 lbs.,--,Orthodox,6,3,0,
1866,Mike,King,,"6' 3""",185 lbs.,--,,5,1,0,
1867,Kyle,Kingsbury,Kingsbu,"6' 4""",205 lbs.,"79.0""",Orthodox,11,6,0,
1868,Kamuela,Kirk,The Jawaiian,"5' 10""",145 lbs.,"75.0""",Switch,12,4,0,
1869,Yurij,Kiseliov,Playboy,"5' 8""",185 lbs.,--,Orthodox,5,4,0,
1870,Justine,Kish,,"5' 5""",125 lbs.,"64.0""",Orthodox,7,4,0,
1871,Koji,Kitao,,"6' 7""",350 lbs.,--,Southpaw,1,2,0,
1872,Satoru,Kitaoka,,"5' 6""",154 lbs.,--,,40,14,9,
1873,Ludovit,Klein,Mr. Highlight,"5' 7""",145 lbs.,"72.0""",Southpaw,17,3,0,
1874,Seth,Kleinbeck,Mass Destruction,"6' 2""",185 lbs.,--,,8,4,0,
1875,Stefan,Klever,,--,185 lbs.,--,Orthodox,6,1,0,
1876,Drakkar,Klose,,"5' 9""",155 lbs.,"70.0""",Orthodox,11,2,1,
1877,Michael,Knaap,Hammer,"6' 2""",220 lbs.,--,Orthodox,18,22,3,
1878,Kevin,Knabjian,,"5' 10""",170 lbs.,--,Orthodox,12,7,1,
1879,Jason,Knight,The Kid,"5' 10""",145 lbs.,"71.0""",Orthodox,20,5,0,
1880,William,Knight,Knightmare,"5' 10""",205 lbs.,"73.0""",Orthodox,10,2,0,
1881,Isao,Kobayashi,,"5' 8""",145 lbs.,--,,21,4,4,
1882,Kelly,Kobold,Blood Red,"5' 6""",135 lbs.,--,Orthodox,19,3,1,
1883,Erik,Koch,Phoenix,"5' 10""",170 lbs.,"71.0""",Southpaw,16,6,0,
1884,Sokun,Koh,,"6' 1""",205 lbs.,--,,4,1,0,
1885,Shingo,Kohara,,"5' 6""",135 lbs.,--,,1,0,0,
1886,Brad,Kohler,,"5' 9""",220 lbs.,--,Orthodox,12,15,0,
1887,Charlie,Kohler,,"5' 9""",155 lbs.,--,Orthodox,8,4,1,
1888,Tsuyoshi,Kohsaka,TK,"5' 11""",225 lbs.,--,Orthodox,27,19,2,
1889,Kaloyan,Kolev,,"6' 2""",205 lbs.,--,Orthodox,10,0,0,
1890,John,Kolosci,,"5' 11""",185 lbs.,--,Orthodox,15,9,0,
1891,Yuki,Kondo,,"5' 11""",183 lbs.,--,Southpaw,60,33,9,
1892,Syuri,Kondo,,"5' 4""",115 lbs.,"66.0""",Orthodox,6,3,0,
1893,Cheick,Kongo,,"6' 4""",240 lbs.,"82.0""",Orthodox,27,10,2,
1894,Andrei,Kopylov,,"6' 2""",265 lbs.,--,Orthodox,6,11,0,
1895,Roman,Kopylov,,"6' 0""",185 lbs.,"75.0""",Southpaw,8,1,0,
1896,Bruno,Korea,,"5' 6""",135 lbs.,"65.0""",,7,3,0,
1897,Andrey,Koreshkov,Spartan,"6' 0""",170 lbs.,--,,19,2,0,
1898,Josh,Koscheck,,"5' 10""",170 lbs.,"73.0""",Orthodox,17,11,0,
1899,Naoyuki,Kotani,,"5' 8""",155 lbs.,"66.0""",Southpaw,34,14,7,
1900,Ilya,Kotau,,--,170 lbs.,--,,1,2,0,
1901,Iouri,Kotchkine,,"6' 2""",235 lbs.,--,Orthodox,7,4,1,
1902,Matt,Kovacs,300,"6' 0""",244 lbs.,--,Orthodox,12,16,0,
1903,Marcus,Kowal,,--,135 lbs.,--,,3,1,1,
1904,Karolina,Kowalkiewicz,,"5' 3""",115 lbs.,"64.0""",Orthodox,12,7,0,
1905,Steve,Kozola,,--,155 lbs.,--,,8,0,0,
1906,Derrick,Krantz,D-Rock,"5' 10""",170 lbs.,"72.0""",Orthodox,22,12,0,
1907,James,Krause,The,"6' 2""",170 lbs.,"73.0""",Orthodox,28,9,0,
1908,Pascal,Krauss,Panzer,"6' 1""",170 lbs.,--,Orthodox,11,2,0,
1909,Rene,Kronvold,,"5' 8""",170 lbs.,--,Orthodox,5,1,0,
1910,Jorgen,Kruth,The Last Viking,"6' 2""",205 lbs.,--,,5,0,0,
1911,Nikita,Krylov,The Miner,"6' 3""",205 lbs.,"77.0""",Orthodox,27,8,0,
1912,Mariusz,Ksiazkiewicz,The Iron Pol,"6' 3""",185 lbs.,"75.0""",Southpaw,8,1,0,
1913,Junya,Kudo,,--,135 lbs.,--,Orthodox,10,7,2,
1914,John,Kuhner,,--,170 lbs.,--,,1,2,0,
1915,Michael,Kuiper,,"6' 0""",185 lbs.,"73.0""",Orthodox,15,5,0,
1916,Anton,Kuivanen,,"5' 8""",155 lbs.,"72.0""",Orthodox,24,10,0,
1917,Maiju,Kujala,,--,135 lbs.,--,,6,3,0,
1918,Aleksei,Kunchenko,,"5' 8""",170 lbs.,"70.0""",Orthodox,20,2,0,
1919,Rizvan,Kuniev,,"6' 4""",240 lbs.,"76.0""",Orthodox,11,2,1,
1920,Keigo,Kunihara,,"6' 0""",235 lbs.,--,Orthodox,3,2,0,
1921,Kiichi,Kunimoto,Strasser,"5' 10""",170 lbs.,"71.0""",Orthodox,18,7,2,
1922,Yana,Kunitskaya,,"5' 6""",135 lbs.,"68.0""",Orthodox,14,6,0,
1923,Leo,Kuntz,The Lion,"5' 10""",155 lbs.,--,Orthodox,18,4,1,
1924,Korey,Kuppe,,"6' 5""",170 lbs.,"77.0""",Switch,8,4,0,
1925,Ramazan,Kuramagomedov,,"6' 1""",170 lbs.,"73.0""",Orthodox,8,0,0,
1926,Tsuyoshi,Kurihara,,"5' 10""",185 lbs.,--,Orthodox,10,8,2,
1927,Eldari,Kurtanidze,,"5' 6""",235 lbs.,--,Orthodox,0,1,0,
1928,Kyle,Kurtz,,--,170 lbs.,--,,7,5,0,
1929,Guram,Kutateladze,Georgian Viking,"5' 11""",155 lbs.,"72.0""",Orthodox,12,2,0,
1930,Lina,Kvokov,,"5' 9""",135 lbs.,--,Orthodox,0,3,0,
1931,Kaleo,Kwan,Leo Boy,"5' 7""",155 lbs.,--,,11,16,0,
1932,Jarrod,Kwitty,,"5' 8""",185 lbs.,--,,2,2,0,
1933,Mike,Kyle,MAK,"6' 4""",205 lbs.,"77.0""",Orthodox,22,14,1,
1934,Achmed,Labasanov,,"6' 3""",215 lbs.,--,Orthodox,7,4,0,
1935,Josh,LaBerge,,"5' 10""",145 lbs.,--,,11,6,0,
1936,Jeremiah,Labiano,The Kid,"5' 10""",135 lbs.,--,,11,5,0,
1937,Daniel,Lacerda,Miojo,"5' 6""",125 lbs.,--,,10,1,0,
1938,Kemran,Lachinov,,--,170 lbs.,--,,3,2,0,
1939,Aspen,Ladd,,"5' 6""",135 lbs.,"66.0""",Orthodox,9,1,0,
1940,Ryan,LaFlare,,"6' 1""",170 lbs.,"74.0""",Southpaw,14,3,0,
1941,Ben,Lagman,Bad News,"6' 2""",185 lbs.,--,,6,5,0,
1942,Noad,Lahat,Neo,"5' 9""",145 lbs.,"69.0""",Orthodox,11,2,0,
1943,Tina,Lahdemaki,Jelly Bean,"5' 2""",115 lbs.,--,Orthodox,5,1,0,
1944,Yohan,Lainesse,White Lion,"6' 1""",170 lbs.,--,,7,0,0,
1945,Tim,Lajcik,The Bohemian,"6' 1""",225 lbs.,--,Orthodox,7,6,1,
1946,Todd,Lally,,"5' 7""",145 lbs.,--,Orthodox,2,1,0,
1947,Sean,Lally,The Unpredictable One,"6' 0""",170 lbs.,--,Orthodox,7,3,0,
1948,Ricardo,Lamas,The Bully,"5' 8""",145 lbs.,"71.0""",Orthodox,20,8,0,
1949,Jason,Lambert,The Punisher,"6' 3""",185 lbs.,"75.0""",Orthodox,26,13,0,
1950,Jose,Landi-Jons,Pele,"5' 11""",170 lbs.,--,Orthodox,29,16,0,
1951,Nate,Landwehr,The Train,"5' 9""",145 lbs.,"72.0""",Orthodox,14,4,0,
1952,Austen,Lane,,"6' 6""",245 lbs.,--,Orthodox,2,1,0,
1953,Aaron,Lanfranco,,--,155 lbs.,--,,5,1,0,
1954,Jeremy,Lang,,"5' 11""",205 lbs.,--,Southpaw,21,2,0,
1955,Lionel,Lanham,,--,205 lbs.,--,,5,1,0,
1956,Lina,Lansberg,Elbow Queen,"5' 7""",135 lbs.,"65.0""",Orthodox,10,5,0,
1957,Taylor,Lapilus,Double Impact,"5' 6""",135 lbs.,"73.0""",Southpaw,11,2,0,
1958,Chad,Laprise,The Disciple,"5' 10""",170 lbs.,"71.0""",Orthodox,13,4,0,
1959,Anthony,Lapsley,The Recipe,"5' 9""",170 lbs.,--,Southpaw,23,7,0,
1960,TJ,Laramie,,"5' 6""",145 lbs.,"66.0""",Orthodox,12,4,0,
1961,Icho,Larenas,,"6' 3""",235 lbs.,--,Orthodox,6,5,0,
1962,Lorenz,Larkin,The Monsoon,"5' 11""",170 lbs.,"72.0""",Orthodox,18,6,0,
1963,Jeremy,Larsen,,"5' 10""",145 lbs.,"70.0""",Orthodox,8,5,0,
1964,Brock,Larson,,"5' 11""",170 lbs.,"71.0""",Southpaw,42,10,0,
1965,Ryan,Larson,,--,170 lbs.,--,,6,2,0,
1966,Bobby,Lashley,,"6' 3""",255 lbs.,"78.0""",Orthodox,15,2,0,
1967,Ilir,Latifi,The Sledgehammer,"5' 10""",230 lbs.,"73.0""",Orthodox,16,8,0,
1968,Sione,Latu,,"6' 0""",215 lbs.,--,,1,0,0,
1969,Jenel,Lausa,,"5' 5""",125 lbs.,"68.0""",Orthodox,7,5,0,
1970,Joe,Lauzon,,"5' 10""",155 lbs.,"71.0""",Orthodox,28,16,0,
1971,Dan,Lauzon,The Upgrade,"5' 10""",155 lbs.,--,Orthodox,17,6,0,
1972,Chatt,Lavender,,"5' 8""",170 lbs.,--,,9,7,0,
1973,Muhammed,Lawal,King Mo,"6' 0""",205 lbs.,"78.0""",Southpaw,21,6,0,
1974,Robbie,Lawler,Ruthless,"5' 11""",170 lbs.,"74.0""",Southpaw,29,15,0,
1975,Tom,Lawlor,Filthy,"6' 0""",205 lbs.,"74.0""",Southpaw,10,6,0,
1976,Justin,Lawrence,The American Kidd,"5' 8""",145 lbs.,"67.0""",Orthodox,10,4,0,
1977,Lance,Lawrence,,"6' 1""",145 lbs.,"74.0""",Orthodox,4,1,0,
1978,Ronnie,Lawrence,The Heat,"5' 8""",135 lbs.,"68.0""",Switch,7,1,0,
1979,Eric,Lawson,,"6' 0""",185 lbs.,--,Orthodox,9,5,0,
1980,Valmir,Lazaro,Bidu,"6' 0""",155 lbs.,"73.0""",Orthodox,15,5,0,
1981,Zviad,Lazishvili,,"5' 6""",135 lbs.,"69.0""",Orthodox,13,0,0,
1982,Mounir,Lazzez,The Sniper,"6' 1""",170 lbs.,"76.0""",Orthodox,10,2,0,
1983,Cung,Le,,"5' 9""",185 lbs.,"70.0""",Southpaw,9,3,0,
1984,Thanh,Le,,"5' 9""",145 lbs.,"74.0""",Orthodox,6,1,0,
1985,Jordan,Leavitt,The Monkey King,"5' 9""",155 lbs.,"71.0""",Southpaw,8,1,0,
1986,Jerome,LeBanner,,"6' 3""",265 lbs.,--,Southpaw,3,2,0,
1987,Chris,Leben,The Crippler,"5' 11""",185 lbs.,"73.0""",Southpaw,22,11,0,
1988,Mickael,Lebout,Ragnar,"5' 11""",155 lbs.,"73.0""",Orthodox,16,7,1,
1989,Stephen,Ledbetter,,"5' 9""",145 lbs.,--,Orthodox,8,3,0,
1990,Justin,Ledet,El Blanco,"6' 4""",205 lbs.,"80.0""",Orthodox,9,4,0,
1991,James,Lee,,"5' 11""",205 lbs.,--,Southpaw,15,3,0,
1992,David,Lee,,"5' 10""",155 lbs.,--,Orthodox,12,10,0,
1993,Jackie,Lee,,--,--,--,,0,1,0,
1994,Eun Soo,Lee,,"6' 1""",215 lbs.,--,Orthodox,17,4,0,
1995,Tae Hyun,Lee,,"6' 6""",295 lbs.,--,Orthodox,1,2,0,
1996,Tommy,Lee,,"5' 7""",145 lbs.,--,Orthodox,25,6,0,
1997,Matt,Lee,,"5' 11""",155 lbs.,--,Orthodox,14,10,1,
1998,Imani,Lee,,--,--,--,Orthodox,2,4,0,
1999,Vaughan,Lee,,"5' 6""",125 lbs.,"66.0""",Orthodox,14,13,1,
2000,Kevin,Lee,The Motown Phenom,"5' 9""",170 lbs.,"77.0""",Orthodox,18,7,0,
2001,Rocky,Lee,,"5' 9""",145 lbs.,--,Orthodox,3,2,0,
2002,Andrea,Lee,KGB,"5' 6""",125 lbs.,"69.0""",Orthodox,12,5,0,
2003,Ricky,Legere Jr.,IE Bad Boy,"5' 8""",170 lbs.,--,,14,4,0,
2004,Sherron,Leggett,Rob Roy,"5' 8""",155 lbs.,--,Southpaw,21,6,0,
2005,Cheyden,Leialoha,Steadfast,"5' 8""",135 lbs.,"73.0""",Orthodox,6,0,0,
2006,Thales,Leites,,"6' 1""",185 lbs.,"78.0""",Orthodox,28,9,0,
2007,Stefan,Leko,Blitz,"6' 2""",215 lbs.,--,Orthodox,0,3,0,
2008,Gabe,Lemley,,"5' 8""",155 lbs.,--,Orthodox,13,9,0,
2009,Amanda,Lemos,,"5' 4""",115 lbs.,"65.0""",Southpaw,10,1,1,
2010,Giacomo,Lemos,,"6' 3""",247 lbs.,"75.0""",Orthodox,6,0,0,
2011,Christophe,Leninger,,"6' 0""",200 lbs.,--,Southpaw,3,4,0,
2012,Jesse,Lennox,The Ox,"5' 9""",170 lbs.,"72.0""",Orthodox,14,4,0,
2013,Jean Francois,Lenogue,,"6' 0""",185 lbs.,--,Orthodox,16,17,3,
2014,Nik,Lentz,The Carny,"5' 8""",145 lbs.,"68.0""",Orthodox,30,12,2,
2015,Alberta Cerra,Leon,,"5' 8""",238 lbs.,--,,0,1,0,
2016,Victoria,Leonardo,Fury,"5' 5""",125 lbs.,"64.0""",Orthodox,8,5,0,
2017,Anthony,Leone,,"5' 6""",135 lbs.,--,Orthodox,15,8,0,
2018,Chad,Leonhardt,The Boss,"6' 0""",170 lbs.,--,,9,4,0,
2019,Kimo,Leopoldo,,"6' 3""",235 lbs.,--,Orthodox,10,7,1,
2020,Michael,Lerma,,--,--,--,,0,1,0,
2021,Lukasz,Les,,--,170 lbs.,--,,8,3,0,
2022,Brock,Lesnar,,"6' 3""",265 lbs.,"81.0""",Orthodox,5,3,0,
2023,Frank,Lester,,"5' 11""",170 lbs.,--,Orthodox,11,6,0,
2024,Valerie,Letourneau,Trouble,"5' 7""",115 lbs.,"68.0""",Orthodox,8,6,0,
2025,Leah,Letson,Nidas,"5' 7""",145 lbs.,"71.0""",,5,2,0,
2026,Justin,Levens,The Executioner,"5' 11""",185 lbs.,--,Orthodox,10,7,0,
2027,Marcus,LeVesseur,The Prospect,"5' 9""",155 lbs.,"70.0""",Southpaw,22,7,0,
2028,David,Levicki,,"6' 5""",275 lbs.,--,,1,3,0,
2029,Kyle,Levinton,,--,--,--,,0,3,0,
2030,Natan,Levy,,"5' 9""",155 lbs.,"71.0""",Southpaw,6,0,0,
2031,John,Lewis,,"6' 0""",155 lbs.,--,Southpaw,3,4,3,
2032,Derrick,Lewis,The Black Beast,"6' 3""",260 lbs.,"79.0""",Orthodox,25,8,0,
2033,Bevon,Lewis,,"6' 3""",185 lbs.,"79.0""",Orthodox,7,3,0,
2034,Brandon,Lewis,,"5' 4""",135 lbs.,"65.0""",Orthodox,5,1,0,
2035,Chi,Lewis-Parry,Chopper,"6' 9""",243 lbs.,--,,7,0,1,
2036,Li,Jingliang,The Leech,"6' 0""",170 lbs.,"71.0""",Orthodox,18,6,0,
2037,Jess,Liaudin,The Joker,"5' 9""",170 lbs.,"72.0""",Orthodox,20,11,0,
2038,Chuck,Liddell,The Iceman,"6' 2""",205 lbs.,"76.0""",Orthodox,21,8,0,
2039,Sam,Liera,,--,--,--,,12,10,0,
2040,Zach,Light,,"5' 8""",170 lbs.,--,Orthodox,9,11,0,
2041,Scott,Lighty,,"6' 2""",205 lbs.,--,,6,2,0,
2042,Chris,Liguori,,"5' 9""",185 lbs.,--,Orthodox,15,10,0,
2043,Donnie,Liles,,"5' 9""",170 lbs.,--,Orthodox,17,7,0,
2044,Jae Suk,Lim,,"5' 9""",170 lbs.,--,Orthodox,17,6,0,
2045,Hyun Gyu,Lim,The Ace,"6' 3""",170 lbs.,"77.0""",Orthodox,13,7,1,
2046,Juliana,Lima,Ju Thai,"5' 5""",115 lbs.,"65.0""",Orthodox,9,5,0,
2047,Dhiego,Lima,,"6' 2""",170 lbs.,"75.0""",Orthodox,17,9,0,
2048,Douglas,Lima,The Phenom,"6' 1""",170 lbs.,--,,29,6,0,
2049,Mabelly,Lima,,"5' 2""",135 lbs.,--,Orthodox,7,1,0,
2050,Miguel,Linares,,--,--,--,,2,4,0,
2051,Matt,Lindland,The Law,"6' 0""",185 lbs.,"74.0""",Southpaw,22,9,0,
2052,Jake,Lindsey,The Librarian,"5' 11""",155 lbs.,--,Switch,12,7,0,
2053,John,Lineker,Hands of Stone,"5' 3""",135 lbs.,"67.0""",Orthodox,31,9,0,
2054,Austin,Lingo,Lights Out,"5' 10""",145 lbs.,"70.0""",Orthodox,9,1,0,
2055,Lucio,Linhares,,"6' 2""",185 lbs.,--,Orthodox,19,8,0,
2056,Philipe,Lins,Monstro,"6' 2""",240 lbs.,"78.0""",Orthodox,14,5,0,
2057,Ariane,Lipski,Queen of Violence,"5' 6""",125 lbs.,"67.0""",Orthodox,14,7,0,
2058,Dean,Lister,The Boogeyman,"6' 1""",185 lbs.,"75.0""",Orthodox,13,7,0,
2059,Wesley,Little,,"6' 4""",205 lbs.,--,,4,8,0,
2060,Abner,Lloveras,Skullman,"5' 11""",155 lbs.,--,,20,9,1,
2061,Brian,Lo-A-Njoe,,"5' 7""",155 lbs.,--,Orthodox,6,10,3,
2062,John,Lober,The Machine,"5' 11""",199 lbs.,--,Orthodox,5,9,4,
2063,Artem,Lobov,The Russian Hammer,"5' 9""",145 lbs.,"65.0""",Southpaw,13,15,1,
2064,Dylan,Lockard,,"5' 9""",145 lbs.,"72.0""",Orthodox,6,2,0,
2065,Sean,Loeffler,The Destroyer,"6' 3""",185 lbs.,--,Orthodox,31,5,0,
2066,Christian,Lohsen,Hollywood,"6' 2""",155 lbs.,"77.0""",Southpaw,4,2,0,
2067,David,Loiseau,The Crow,"6' 0""",185 lbs.,"76.0""",Orthodox,23,11,0,
2068,Hector,Lombard,,"5' 9""",185 lbs.,"71.0""",Southpaw,34,10,1,
2069,Michael,Lombardo,The Don,"6' 0""",170 lbs.,"72.0""",Orthodox,11,2,0,
2070,Rocky,Long,,--,145 lbs.,--,,21,37,1,
2071,Thomas,Longacre,,"5' 9""",145 lbs.,--,Orthodox,6,1,0,
2072,Loma,Lookboonmee,,"5' 1""",115 lbs.,"61.0""",Orthodox,6,2,0,
2073,Ange,Loosa,The Last Ninja,"5' 10""",170 lbs.,"74.0""",Orthodox,7,2,0,
2074,Lucas,Lopes,,"6' 2""",185 lbs.,--,,29,19,0,
2075,Dileno,Lopes,,"5' 5""",135 lbs.,--,,19,3,0,
2076,Diego,Lopes,,"5' 11""",145 lbs.,"72.0""",Orthodox,19,4,0,
2077,Ivan,Lopez,,"5' 6""",135 lbs.,--,Southpaw,14,3,1,
2078,Steve,Lopez,,"5' 11""",155 lbs.,--,Orthodox,13,6,1,
2079,Federico,Lopez,Kiko,"5' 4""",139 lbs.,--,Orthodox,10,6,0,
2080,Jorge,Lopez,,"5' 10""",170 lbs.,--,Orthodox,11,5,0,
2081,Christopher,Lopez,,"5' 10""",170 lbs.,--,,9,1,0,
2082,Matthew,Lopez,,"5' 7""",135 lbs.,"69.0""",Southpaw,10,4,0,
2083,Benito,Lopez,Golden Boy,"5' 10""",135 lbs.,"73.0""",Switch,10,1,0,
2084,Gustavo,Lopez,,"5' 5""",135 lbs.,"67.0""",Orthodox,12,6,1,
2085,Brendan,Loughnane,,"5' 10""",145 lbs.,"70.0""",Switch,17,3,0,
2086,Nate,Loughran,,"6' 2""",185 lbs.,--,Orthodox,11,2,0,
2087,Rashard,Lovelace,,--,155 lbs.,--,,4,1,0,
2088,Ian,Loveland,The Barn Owl,"5' 8""",145 lbs.,--,Orthodox,18,10,0,
2089,Jakob,Lovstad,The Striking Viking,"6' 3""",205 lbs.,--,Orthodox,11,4,0,
2090,Waylon,Lowe,,"5' 7""",145 lbs.,--,Southpaw,16,7,0,
2091,Brandon,Lowe,,--,155 lbs.,--,,2,1,0,
2092,Joe,Lowry,,"5' 11""",155 lbs.,"73.0""",Orthodox,9,2,0,
2093,Robert,Lucarelli,,"6' 2""",245 lbs.,--,,0,1,0,
2094,Matt,Lucas,Luke Duke,"6' 1""",205 lbs.,--,,15,3,0,
2095,Cleber,Luciano,,"5' 6""",155 lbs.,--,,14,6,0,
2096,Duane,Ludwig,Bang,"5' 10""",170 lbs.,"70.0""",Orthodox,21,14,0,
2097,Mike,Lullo,,"5' 8""",145 lbs.,--,Orthodox,8,3,0,
2098,Lun,Qiu,,--,125 lbs.,--,,12,7,0,
2099,Dalcha,Lungiambula,Champion,"5' 8""",185 lbs.,"76.0""",Orthodox,11,3,0,
2100,Alexandru,Lungu,,"6' 0""",385 lbs.,--,Orthodox,14,4,0,
2101,Vicente,Luque,The Silent Assassin,"5' 11""",170 lbs.,"75.0""",Orthodox,21,7,1,
2102,Thaddeus,Luster,,"6' 3""",210 lbs.,--,,0,1,0,
2103,Travis,Lutter,The Serial Killer,"5' 11""",185 lbs.,"75.0""",Orthodox,10,6,0,
2104,Tucker,Lutz,Top Gun,"5' 8""",155 lbs.,"72.0""",Orthodox,12,1,0,
2105,Lv,Zhenhong,,"5' 8""",145 lbs.,"67.0""",Switch,16,6,0,
2106,Stevie,Lynch,,"5' 10""",170 lbs.,--,Orthodox,5,2,0,
2107,Adam,Lynn,,"5' 10""",155 lbs.,--,Orthodox,17,10,0,
2108,Chris,Lytle,Lights Out,"5' 11""",170 lbs.,"68.0""",Orthodox,31,18,5,
2109,Dong Hyun,Ma,Maestro,"5' 11""",155 lbs.,"70.0""",Orthodox,16,11,3,
2110,William,Macario,Patolino,"5' 11""",170 lbs.,"75.0""",Orthodox,9,3,0,
2111,Jason,MacDonald,The Athlete,"6' 3""",185 lbs.,"80.0""",Orthodox,25,16,0,
2112,Rob,MacDonald,Maximus,"6' 3""",205 lbs.,"78.0""",Orthodox,5,4,0,
2113,Rory,MacDonald,Red King,"6' 0""",170 lbs.,"76.0""",Orthodox,19,4,0,
2114,Ryan,MacDonald,Main Event,"5' 11""",135 lbs.,"71.0""",Switch,10,2,0,
2115,Veronica,Macedo,,"5' 4""",125 lbs.,"64.0""",Southpaw,6,4,1,
2116,Clayton,MacFarlane,,--,170 lbs.,--,,4,1,0,
2117,Ilima,Macfarlane,,"5' 4""",125 lbs.,--,,6,0,0,
2118,Valesca,Machado,Tina Black,"5' 4""",115 lbs.,"64.0""",Orthodox,8,2,0,
2119,Lyoto,Machida,The Dragon,"6' 1""",185 lbs.,"74.0""",Southpaw,24,8,0,
2120,War,Machine,,"5' 11""",170 lbs.,--,Orthodox,14,5,0,
2121,Anthony,Macias,Mad Dog,"5' 9""",185 lbs.,--,Switch,26,18,0,
2122,Pauline,Macias,PITA,"5' 4""",115 lbs.,"64.0""",Southpaw,4,1,0,
2123,Reza,Madadi,Mad Dog,"5' 11""",155 lbs.,"73.0""",Orthodox,14,6,0,
2124,Don,Madge,Magic Man,"6' 0""",155 lbs.,"72.0""",Southpaw,9,3,1,
2125,Ryan,Madigan,,"6' 0""",170 lbs.,--,Orthodox,5,3,0,
2126,Jon,Madsen,,"6' 0""",240 lbs.,"72.0""",Orthodox,8,2,0,
2127,Mark,Madsen,The Olympian,"5' 8""",155 lbs.,"72.0""",Orthodox,11,0,0,
